contexto,modelo,clase,parametro,valor,valor_por_defecto,escrito_en_codigo,coincide_con_default,origen,criterio_anterior,archivos_fuente
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,learning_rate,0.1,0.1,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,loss,'log_loss','log_loss',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,max_bins,255,255,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,max_depth,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,max_features,1.0,1.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,max_iter,200,100,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,max_leaf_nodes,31,31,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,min_samples_leaf,20,20,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,monotonic_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,n_iter_no_change,10,10,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,random_state,42,None,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,scoring,'loss','loss',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,tol,1e-07,1e-07,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,validation_fraction,0.1,0.1,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,verbose,0,0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,warm_start,False,False,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,bootstrap,False,False,False,True,por defecto,por defecto,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,contamination,'auto','auto',False,True,por defecto,por defecto,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,max_features,1.0,1.0,False,True,por defecto,por defecto,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,max_samples,'auto','auto',False,True,por defecto,por defecto,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,n_estimators,200,100,True,False,explícito,explícito,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,n_jobs,-1,None,True,False,explícito,explícito,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,random_state,42,None,True,False,explícito,explícito,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,verbose,0,0,False,True,por defecto,por defecto,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (bosque),IsolationForest,warm_start,False,False,False,True,por defecto,por defecto,src/modelo_final.py; src/no_supervisado.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (escalador),StandardScaler,copy,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (escalador),StandardScaler,with_mean,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
models/detector_anomalias.joblib,Detector de anomalías (escalador),StandardScaler,with_std,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'escalado'),StandardScaler,copy,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'escalado'),StandardScaler,with_mean,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'escalado'),StandardScaler,with_std,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,C,1.0,1.0,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,class_weight,None,None,True,True,explícito,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,dual,False,False,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,fit_intercept,True,True,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,intercept_scaling,1,1,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,l1_ratio,0.0,0.0,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,max_iter,1000,100,True,False,explícito,explícito,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,n_jobs,None,None,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,penalty,'deprecated','deprecated',False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,random_state,42,None,True,False,explícito,explícito,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,solver,'lbfgs','lbfgs',False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,tol,0.0001,0.0001,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,verbose,0,0,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + sin_correccion (paso 'modelo'),LogisticRegression,warm_start,False,False,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,categorical_features,'from_dtype','from_dtype',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,class_weight,None,None,True,True,explícito,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,early_stopping,'auto','auto',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,interaction_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,l2_regularization,0.0,0.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,learning_rate,0.1,0.1,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,loss,'log_loss','log_loss',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,max_bins,255,255,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,max_depth,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,max_features,1.0,1.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,max_iter,200,100,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,max_leaf_nodes,31,31,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,min_samples_leaf,20,20,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,monotonic_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,n_iter_no_change,10,10,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,random_state,42,None,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,scoring,'loss','loss',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,tol,1e-07,1e-07,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,validation_fraction,0.1,0.1,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,verbose,0,0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + sin_correccion (paso 'modelo'),HistGradientBoostingClassifier,warm_start,False,False,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'escalado'),StandardScaler,copy,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'escalado'),StandardScaler,with_mean,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'escalado'),StandardScaler,with_std,True,True,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/no_supervisado.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,C,1.0,1.0,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,class_weight,'balanced',None,True,False,explícito,explícito,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,dual,False,False,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,fit_intercept,True,True,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,intercept_scaling,1,1,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,l1_ratio,0.0,0.0,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,max_iter,1000,100,True,False,explícito,explícito,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,n_jobs,None,None,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,penalty,'deprecated','deprecated',False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,random_state,42,None,True,False,explícito,explícito,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,solver,'lbfgs','lbfgs',False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,tol,0.0001,0.0001,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,verbose,0,0,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: reglog + pesos (paso 'modelo'),LogisticRegression,warm_start,False,False,False,True,por defecto,por defecto,src/experimentos.py; src/interpretabilidad.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,categorical_features,'from_dtype','from_dtype',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,class_weight,'balanced',None,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,early_stopping,'auto','auto',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,interaction_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,l2_regularization,0.0,0.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,learning_rate,0.1,0.1,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,loss,'log_loss','log_loss',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,max_bins,255,255,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,max_depth,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,max_features,1.0,1.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,max_iter,200,100,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,max_leaf_nodes,31,31,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,min_samples_leaf,20,20,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,monotonic_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
src/experimentos.py::construir_pipeline,Matriz Fase 3: arboles + pesos (paso 'modelo'),HistGradientBoostingClassifier,n_iter_no_change,10,10,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
