 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
53,168,2,2,90,122,45,45,45.0,0.0,61,61,61.0,0.0,1.2619048e+06,23809.523,56.0,90.934044,161,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,11904.762,11904.762,45,61,51.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,64.25,45.0,61.0,64,0,0,0,0,0,0,2,90,2,122,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,1559,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,7697.2417,1282.8737,1559.0,0.0,1559,1559,1559,1559.0,0.0,1559,1559,0,0.0,0.0,0,0,0,0,0,0,40,0,1282.8737,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,8586641,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.7950394,0.4658399,2.8622138e+06,4.957498e+06,8586639,1,8586641,2.8622138e+06,4.957498e+06,8586639,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.4658399,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,2.0,0.0,2,2,8.586639e+06,0.0,8586639,8586639
443,116246697,22,20,4973,5297,4590,0,226.04546,976.0777,1418,0,264.85,521.42377,88.346596,0.3613006,2.8352852e+06,4.475794e+06,10000000,6,116000000,5.535557e+06,4.980946e+06,10100000,48,111000000,5.830777e+06,5.0812185e+06,10100000,48,0,0,0,0,712,648,0.18925269,0.1720479,0,4590,238.8372,775.3222,601124.5,0,0,0,1,0,0,0,0,0,244.5238,226.04546,264.85,712,0,0,0,0,0,0,22,4973,20,5297,29200,434,4,32,62662.582,72898.74,294147,41493,9.624558e+06,1.3240916e+06,10000000,5420023
36948,83,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24096.385,83.0,0.0,83,83,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12048.192,12048.192,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,126,445,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,11166106,5,5,624,3525,624,0,124.8,279.06128,2077,0,705.0,990.6447,371.5709,0.89556736,1.2406785e+06,2.4780188e+06,6163813,2,6167550,1.5418875e+06,3.083225e+06,6166725,2,11200000,2.7915188e+06,3.257528e+06,6163813,193,0,0,0,0,168,168,0.44778368,0.44778368,0,2077,377.18182,723.53864,523508.16,0,0,0,1,0,0,0,0,1,414.9,124.8,705.0,168,0,0,0,0,0,0,5,624,5,3525,29200,236,1,32,882.0,0.0,882,882,6.163813e+06,0.0,6163813,6163813
22,12885513,20,33,2008,2745,640,0,100.4,141.91414,976,0,83.181816,217.28574,368.86386,4.1131463,247798.33,672740.8,2648205,4,11000000,577832.8,989862.1,2701260,475,12900000,402669.72,824823.2,2648205,4,0,0,0,0,648,1064,1.5521307,2.5610156,0,976,88.01852,189.59027,35944.473,0,0,0,1,0,0,0,0,1,89.679245,100.4,83.181816,648,0,0,0,0,0,0,20,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
50855,185,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,16216.216,92.5,125.1579,181,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,32,10810.811,5405.4053,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,357,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,90531,1,1,49,101,49,49,49.0,0.0,101,101,101.0,0.0,1656.891,22.09188,90531.0,0.0,90531,90531,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11.04594,11.04594,49,101,66.333336,30.022215,901.3333,0,0,0,0,0,0,0,0,1,99.5,49.0,101.0,32,0,0,0,0,0,0,1,49,1,101,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5199731,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.76927054,1.7332436e+06,3.0013058e+06,5198853,123,5199731,2.5998655e+06,3.6755232e+06,5198853,878,0,0.0,0.0,0,0,0,0,0,0,104,40,0.57695293,0.19231763,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,23785,1,1,43,59,43,43,43.0,0.0,59,59,59.0,0.0,4288.417,84.08661,23785.0,0.0,23785,23785,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,44,20,42.043304,42.043304,43,59,48.333332,9.237604,85.333336,0,0,0,0,0,0,0,0,1,72.5,43.0,59.0,44,0,0,0,0,0,0,1,43,1,59,-1,-1,0,44,0.0,0.0,0,0,0.0,0.0,0,0
43876,4,2,0,31,0,31,0,15.5,21.920311,0,0,0.0,0.0,7.75e+06,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,31,20.666666,17.897858,320.33334,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,939,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,42,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,47619.047,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,23809.523,23809.523,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,257,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,6249540,13,17,652,13747,333,0,50.153847,104.60788,2979,0,808.64703,861.3747,2304.0095,4.8003535,215501.38,1.1157581e+06,6016050,3,6249540,520795.0,1.7308288e+06,6016347,209,6198182,387386.38,1.5011686e+06,6016058,3,0,0,0,0,272,352,2.080153,2.7202003,0,2979,464.48386,740.8068,548794.8,0,0,0,1,0,0,0,0,1,479.96667,50.153847,808.64703,272,0,0,0,0,0,0,13,652,17,13747,8192,66,3,20,233193.0,0.0,233193,233193,6.01605e+06,0.0,6016050,6016050
45140,3,2,0,31,0,31,0,15.5,21.920311,0,0,0.0,0.0,1.03e+07,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.7,0.0,0,31,20.666666,17.897858,320.33334,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,59,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,48718,1,1,60,125,60,60,60.0,0.0,125,125,125.0,0.0,3797.3645,41.05259,48718.0,0.0,48718,48718,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20.526295,20.526295,60,125,81.666664,37.527767,1408.3334,0,0,0,0,0,0,0,0,1,122.5,60.0,125.0,20,0,0,0,0,0,0,1,60,1,125,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
32781,31,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,258064.52,64516.13,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,32258.064,32258.064,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,33027647,203,104,43951,72194,602,0,216.50739,228.65117,1069,0,694.1731,362.6638,3516.5994,9.295243,107933.484,271911.44,1293952,4,33000000,163488.52,321122.0,1293952,892,33000000,320655.78,418105.12,1294873,4,0,0,0,0,6504,3336,6.1463656,3.1488771,0,1069,377.09415,360.69583,130101.49,0,0,0,1,0,0,0,0,0,378.32248,216.50739,694.1731,6504,0,0,0,0,0,0,203,43951,104,72194,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0
53,77807,4,2,148,298,37,37,37.0,0.0,149,149,149.0,0.0,5732.132,77.113884,15561.4,22070.506,47056,3,30747,10249.0,17745.727,30740,3,4,4.0,0.0,4,4,0,0,0,0,92,40,51.409256,25.704628,37,149,69.0,54.650406,2986.6667,0,0,0,0,0,0,0,0,0,80.5,37.0,149.0,92,0,0,0,0,0,0,4,148,2,298,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
53,31033,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,12889.505,128.89505,10344.333,17872.758,30982,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,64.447525,64.447525,36,164,87.2,70.10849,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,64,0,0,0,0,0,0,2,72,2,328,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,63080216,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.11096982,1.05e+07,1.19e+07,32000000,996597,63100000,1.05e+07,1.19e+07,32000000,996597,0,0.0,0.0,0,0,0,0,0,0,280,0,0.11096982,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7.008527e+06,0.0,7008527,7008527,1.87e+07,1.22e+07,32000000,8007969
53,30656,1,1,44,204,44,44,44.0,0.0,204,204,204.0,0.0,8089.7705,65.24008,30656.0,0.0,30656,30656,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.62004,32.62004,44,204,97.333336,92.376045,8533.333,0,0,0,0,0,0,0,0,1,146.0,44.0,204.0,20,0,0,0,0,0,0,1,44,1,204,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
53,31297,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,12780.777,127.80778,10432.333,18065.867,31293,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,40,40,63.90389,63.90389,36,164,87.2,70.10849,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,40,0,0,0,0,0,0,2,72,2,328,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,5923046,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.6753282,1.9743486e+06,3.19431e+06,5659689,85,5923046,2.961523e+06,3.815783e+06,5659689,263357,0,0.0,0.0,0,0,0,0,0,0,80,40,0.50649613,0.16883205,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,29200,12960,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,84637261,7,7,350,11595,344,0,50.0,129.6611,2896,0,1656.4286,1302.5323,141.1317,0.16541179,6.5105585e+06,2.34e+07,84500000,1,84500000,1.41e+07,3.45e+07,84500000,1,150635,25105.834,55584.008,138149,33,0,0,0,0,220,232,0.08270589,0.08270589,0,2896,796.3333,1194.9896,1.4280002e+06,0,0,0,0,1,0,0,0,1,853.2143,50.0,1656.4286,220,0,0,0,0,0,0,7,350,7,11595,274,235,2,20,1985.0,0.0,1985,1985,8.45e+07,0.0,84500000,84500000
53,100897,1,1,43,113,43,43,43.0,0.0,113,113,113.0,0.0,1546.1312,19.822195,100897.0,0.0,100897,100897,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,9.911098,9.911098,43,113,66.333336,40.41452,1633.3334,0,0,0,0,0,0,0,0,1,99.5,43.0,113.0,32,0,0,0,0,0,0,1,43,1,113,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,115870368,27,28,661,22960,314,0,24.481482,72.151215,2896,0,820.0,904.73615,203.85712,0.47466838,2.1457475e+06,4.1367788e+06,10218048,2,115870368,4.4565525e+06,5.075008e+06,10240010,2,112495514,4.1665005e+06,5.1164035e+06,10240265,48,0,0,0,0,872,904,0.23301902,0.24164936,0,2896,421.80356,752.1616,565747.1,0,0,0,1,0,0,0,0,1,429.47272,24.481482,820.0,872,0,0,0,0,0,0,27,661,28,22960,29200,122,4,32,27379.0,17565.545,80340,21954,1.0199513e+07,61051.96,10218048,10015435
53,293,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,546075.06,13651.877,97.666664,85.16063,196,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,80,80,6825.9385,6825.9385,32,48,38.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,80,0,0,0,0,0,0,2,64,2,96,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
80,2999623,8,1,1780,0,356,0,222.5,184.2475,0,0,0.0,0.0,593.4079,3.000377,374952.88,488035.06,1370358,49,2999623,428517.56,501094.44,1370358,49,0,0.0,0.0,0,0,0,0,0,0,264,40,2.6670017,0.33337522,0,356,178.0,187.62848,35204.445,0,0,0,1,0,0,0,0,0,197.77777,222.5,0.0,264,0,0,0,0,0,0,8,1780,1,0,29200,28960,5,32,0.0,0.0,0,0,0.0,0.0,0,0
80,77398429,15,10,7480,8576,1798,0,498.66666,669.31104,2329,0,857.6,973.99445,207.44608,0.32300398,3.2249345e+06,1.55e+07,76200000,22,77400000,5.528459e+06,2.03e+07,76200000,42,1118241,124249.0,230049.53,714261,84,0,0,0,0,312,212,0.19380239,0.12920159,0,2329,617.53845,799.4817,639171.0,0,0,0,1,0,0,0,0,0,642.24,498.66666,857.6,312,0,0,0,0,0,0,15,7480,10,8576,8192,513,14,20,0.0,0.0,0,0,0.0,0.0,0,0
63113,52367,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,57.287987,26183.5,36996.535,52344,23,52367,52367.0,0.0,52367,52367,0,0.0,0.0,0,0,0,0,0,0,76,32,38.19199,19.095995,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,76,0,0,0,0,0,0,2,0,1,0,357,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,63095736,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.11094252,1.05e+07,1.19e+07,32000000,996132,63100000,1.05e+07,1.19e+07,32000000,996132,0,0.0,0.0,0,0,0,0,0,0,280,0,0.11094252,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7.008072e+06,0.0,7008072,7008072,1.87e+07,1.22e+07,32000000,8023938
53,46900,4,2,160,206,40,40,40.0,0.0,103,103,103.0,0.0,7803.838,127.93177,9380.0,13697.68,30195,3,30203,10067.667,17430.781,30195,4,3,3.0,0.0,3,3,0,0,0,0,80,40,85.28785,42.643925,40,103,58.0,30.740852,945.0,0,0,0,0,0,0,0,0,0,67.666664,40.0,103.0,80,0,0,0,0,0,0,4,160,2,206,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
80,84540144,6,6,397,11595,379,0,66.166664,153.28459,4344,0,1932.5,2181.0083,141.84978,0.1419444,7.6854675e+06,2.54e+07,84400000,36,84400000,1.69e+07,3.77e+07,84400000,995,84500000,1.69e+07,3.77e+07,84400000,64,0,0,0,0,164,200,0.0709722,0.0709722,0,4344,922.9231,1714.2023,2.9384895e+06,1,0,0,0,0,0,0,0,1,999.8333,66.166664,1932.5,164,0,0,0,0,0,0,6,397,6,11595,0,235,3,20,10997.0,0.0,10997,10997,8.44e+07,0.0,84400000,84400000
443,274,1,1,31,6,31,31,31.0,0.0,6,6,6.0,0.0,135036.5,7299.27,274.0,0.0,274,274,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,20,20,3649.635,3649.635,6,31,22.666666,14.433757,208.33333,0,1,0,0,1,0,0,0,1,34.0,31.0,6.0,20,0,0,0,0,0,0,1,31,1,6,980,980,0,20,0.0,0.0,0,0,0.0,0.0,0,0
443,119559294,23,23,1555,8833,273,0,67.608696,81.29673,2230,0,384.0435,594.4864,86.88576,0.38474634,2.6568732e+06,1.23e+07,58900000,4,120000000,5.4345135e+06,1.73e+07,58900000,21,119000000,5.4308905e+06,1.73e+07,59000000,4,0,0,0,0,472,472,0.19237317,0.19237317,0,2230,221.02127,445.31204,198302.8,0,0,0,1,0,0,0,0,1,225.82608,67.608696,384.0435,472,0,0,0,0,0,0,23,1555,23,8833,8192,131,22,20,873326.5,1.1124762e+06,1659966,86687,5.89e+07,60430.05,58900000,58800000
80,85160132,9,7,722,11595,361,0,80.22222,159.18604,5792,0,1656.4286,1947.6382,144.6334,0.18788134,5.677342e+06,2.19e+07,84800000,1,85000000,1.06e+07,3e+07,84800000,1,359619,59936.5,96660.64,223048,45,0,0,0,0,296,232,0.10568326,0.08219809,0,5792,724.5294,1442.7117,2.0814169e+06,0,0,0,0,1,0,0,0,0,769.8125,80.22222,1656.4286,296,0,0,0,0,0,0,9,722,7,11595,274,235,2,32,1250.0,0.0,1250,1250,8.48e+07,0.0,84800000,84800000
51488,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4e+06,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.7,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,5114,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,116039234,16,14,467,717,456,0,29.1875,113.81753,717,0,51.214287,191.62631,10.203445,0.25853324,4.001353e+06,4.8554885e+06,10000000,84,116000000,7.735949e+06,4.117185e+06,10100000,412,111000000,8.507608e+06,3.7643812e+06,10100000,741,0,0,0,0,332,284,0.1378844,0.120648846,0,717,38.19355,150.2015,22560.494,0,0,0,1,0,0,0,0,0,39.466667,29.1875,51.214287,332,0,0,0,0,0,0,16,467,14,717,8192,30016,12,20,76103.91,86743.75,337636,47695,9.978361e+06,71618.69,10000000,9762518
80,8588753,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.4929402,0.5821567,2.1471882e+06,4.292379e+06,8585757,1,8588753,2.1471882e+06,4.292379e+06,8585757,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.5821567,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2996.0,0.0,2996,2996,8.585757e+06,0.0,8585757,8585757
39204,66,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30303.031,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15151.516,15151.516,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5656,340,0,32,0.0,0.0,0,0,0.0,0.0,0,0
22,11653924,21,31,2008,2745,640,0,95.61905,140.04517,976,0,88.548386,223.315,407.84546,4.4620166,228508.31,603916.3,2145962,3,9503958,475197.9,830986.06,2220091,361,11700000,388461.03,751490.9,2145962,3,0,0,0,0,680,1000,1.8019682,2.6600482,0,976,89.679245,191.00763,36483.914,0,0,0,1,0,0,0,0,1,91.40385,95.61905,88.548386,680,0,0,0,0,0,0,21,2008,31,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
