score_iforest,clase
-0.3940649,BENIGN
-0.3500871,BENIGN
-0.40853328,BENIGN
-0.34327623,BENIGN
-0.38742006,BENIGN
-0.33695054,BENIGN
-0.39271963,BENIGN
-0.4521899,BENIGN
-0.3355901,BENIGN
-0.3678877,BENIGN
-0.37341738,BENIGN
-0.33546948,BENIGN
-0.34356502,BENIGN
-0.419366,BENIGN
-0.35045892,BENIGN
-0.3614544,BENIGN
-0.43322226,BENIGN
-0.58933747,BENIGN
-0.402826,BENIGN
-0.45358354,BENIGN
-0.3421062,BENIGN
-0.33766243,BENIGN
-0.42335975,BENIGN
-0.36708662,BENIGN
-0.3358243,BENIGN
-0.45716602,BENIGN
-0.42722246,BENIGN
-0.3563712,BENIGN
-0.35593024,BENIGN
-0.38279966,BENIGN
-0.45401552,BENIGN
-0.34544343,BENIGN
-0.37327707,BENIGN
-0.41526717,BENIGN
-0.35798618,BENIGN
-0.37033403,BENIGN
-0.34588215,BENIGN
-0.39278966,BENIGN
-0.38969982,BENIGN
-0.340866,BENIGN
-0.3344811,BENIGN
-0.51873153,BENIGN
-0.36916766,BENIGN
-0.3932288,BENIGN
-0.38517258,BENIGN
-0.45465752,BENIGN
-0.589048,BENIGN
-0.5424996,BENIGN
-0.5738562,BENIGN
-0.33417544,BENIGN
-0.34237316,BENIGN
-0.45808017,BENIGN
-0.44601056,BENIGN
-0.34290498,BENIGN
-0.34648183,BENIGN
-0.34011677,BENIGN
-0.3708854,BENIGN
-0.34850025,BENIGN
-0.35422656,BENIGN
-0.5647033,BENIGN
-0.532438,BENIGN
-0.38837996,BENIGN
-0.39826572,BENIGN
-0.3583285,BENIGN
-0.41591242,BENIGN
-0.6804783,BENIGN
-0.4283163,BENIGN
-0.34316948,BENIGN
-0.34803534,BENIGN
-0.4360565,BENIGN
-0.3447272,BENIGN
-0.38806215,BENIGN
-0.378899,BENIGN
-0.33605188,BENIGN
-0.3412409,BENIGN
-0.6785548,BENIGN
-0.33812395,BENIGN
-0.34693518,BENIGN
-0.34048364,BENIGN
-0.36819285,BENIGN
-0.39622596,BENIGN
-0.3676325,BENIGN
-0.37193736,BENIGN
-0.36764506,BENIGN
-0.3485589,BENIGN
-0.60819197,BENIGN
-0.34047434,BENIGN
-0.7005833,BENIGN
-0.36991277,BENIGN
-0.33794442,BENIGN
-0.3561242,BENIGN
-0.44296002,BENIGN
-0.33697134,BENIGN
-0.59426534,BENIGN
-0.33677587,BENIGN
-0.33659673,BENIGN
-0.3507437,BENIGN
-0.4349311,BENIGN
-0.340064,BENIGN
-0.34820607,BENIGN
-0.33823952,BENIGN
-0.4995995,BENIGN
-0.43396056,BENIGN
-0.33365017,BENIGN
-0.36933243,BENIGN
-0.3596168,BENIGN
-0.37288234,BENIGN
-0.39228383,BENIGN
-0.3417862,BENIGN
-0.37162152,BENIGN
-0.34021464,BENIGN
-0.37192273,BENIGN
-0.47117707,BENIGN
-0.45361987,BENIGN
-0.3452239,BENIGN
-0.3459999,BENIGN
-0.42318943,BENIGN
-0.35586187,BENIGN
-0.33683416,BENIGN
-0.5669279,BENIGN
-0.3336835,BENIGN
-0.34218425,BENIGN
-0.4059866,BENIGN
-0.48635417,BENIGN
-0.34303495,BENIGN
-0.38630962,BENIGN
-0.33262795,BENIGN
-0.5294504,BENIGN
-0.45535767,BENIGN
-0.37186804,BENIGN
-0.3696543,BENIGN
-0.4216148,BENIGN
-0.49973187,BENIGN
-0.34395954,BENIGN
-0.36898014,BENIGN
-0.3659352,BENIGN
-0.34609267,BENIGN
-0.36547512,BENIGN
-0.49753115,BENIGN
-0.4530059,BENIGN
-0.33485046,BENIGN
-0.4565382,BENIGN
-0.4155578,BENIGN
-0.3911662,BENIGN
-0.37092125,BENIGN
-0.36804572,BENIGN
-0.36606708,BENIGN
-0.3649956,BENIGN
-0.33764884,BENIGN
-0.38222632,BENIGN
-0.33933762,BENIGN
-0.34585485,BENIGN
-0.33583072,BENIGN
-0.37136713,BENIGN
-0.37608424,BENIGN
-0.3728315,BENIGN
-0.3362624,BENIGN
-0.34452304,BENIGN
-0.38594934,BENIGN
-0.33314684,BENIGN
-0.38551873,BENIGN
-0.45691368,BENIGN
-0.35695294,BENIGN
-0.3447756,BENIGN
-0.34867325,BENIGN
-0.33778003,BENIGN
-0.41359732,BENIGN
-0.34186894,BENIGN
-0.39480123,BENIGN
-0.36707446,BENIGN
-0.33128983,BENIGN
-0.38716114,BENIGN
-0.33882457,BENIGN
-0.47211573,BENIGN
-0.3505304,BENIGN
-0.34360552,BENIGN
-0.34094024,BENIGN
-0.3371492,BENIGN
-0.33753142,BENIGN
-0.39555198,BENIGN
-0.34761232,BENIGN
-0.5517085,BENIGN
-0.33504942,BENIGN
-0.37563312,BENIGN
-0.36022675,BENIGN
-0.33509716,BENIGN
-0.3719927,BENIGN
-0.338993,BENIGN
-0.3507477,BENIGN
-0.55712414,BENIGN
-0.3643604,BENIGN
-0.35554066,BENIGN
-0.34020966,BENIGN
-0.45049036,BENIGN
-0.46385273,BENIGN
-0.38070208,BENIGN
-0.34090367,BENIGN
-0.6012603,BENIGN
-0.36905295,BENIGN
-0.37295946,BENIGN
-0.37303045,BENIGN
-0.34473956,BENIGN
-0.3899175,BENIGN
-0.361028,BENIGN
-0.34746575,BENIGN
-0.3685394,BENIGN
-0.38987768,BENIGN
-0.5154077,BENIGN
-0.6668263,BENIGN
-0.45791242,BENIGN
-0.33822736,BENIGN
-0.3395882,BENIGN
-0.35174757,BENIGN
-0.3598269,BENIGN
-0.33839905,BENIGN
-0.36921832,BENIGN
-0.3449967,BENIGN
-0.350872,BENIGN
-0.37177032,BENIGN
-0.4094326,BENIGN
-0.42020318,BENIGN
-0.44688028,BENIGN
-0.3699419,BENIGN
-0.40087354,BENIGN
-0.57038504,BENIGN
-0.3910733,BENIGN
-0.6789028,BENIGN
-0.40417248,BENIGN
-0.3401473,BENIGN
-0.45007223,BENIGN
-0.4380297,BENIGN
-0.41029003,BENIGN
-0.34144256,BENIGN
-0.45071742,BENIGN
-0.40269038,BENIGN
-0.4436478,BENIGN
-0.33955932,BENIGN
-0.34460074,BENIGN
-0.39663893,BENIGN
-0.36636168,BENIGN
-0.40119556,BENIGN
-0.35716859,BENIGN
-0.35221827,BENIGN
-0.39369476,BENIGN
-0.3508833,BENIGN
-0.391269,BENIGN
-0.3621319,BENIGN
-0.35041457,BENIGN
-0.36757836,BENIGN
-0.41518983,BENIGN
-0.39345208,BENIGN
-0.40053046,BENIGN
-0.34186867,BENIGN
-0.36855644,BENIGN
-0.5103003,BENIGN
-0.34326285,BENIGN
-0.34008786,BENIGN
-0.4032599,BENIGN
-0.3571016,BENIGN
-0.37150854,BENIGN
-0.3562097,BENIGN
-0.36688066,BENIGN
-0.39561957,BENIGN
-0.48775846,BENIGN
-0.38953492,BENIGN
-0.459458,BENIGN
-0.39762408,BENIGN
-0.34060287,BENIGN
-0.3396181,BENIGN
-0.36142877,BENIGN
-0.34279206,BENIGN
-0.34687194,BENIGN
-0.47286186,BENIGN
-0.33650002,BENIGN
-0.372297,BENIGN
-0.41000694,BENIGN
-0.38335332,BENIGN
-0.36321396,BENIGN
-0.35338518,BENIGN
-0.3507477,BENIGN
-0.3878124,BENIGN
-0.57589215,BENIGN
-0.3459964,BENIGN
-0.3381039,BENIGN
-0.47809267,BENIGN
-0.33636227,BENIGN
-0.5750418,BENIGN
-0.34754947,BENIGN
-0.34645456,BENIGN
-0.4469547,BENIGN
-0.3465044,BENIGN
-0.35167262,BENIGN
-0.3710076,BENIGN
-0.58619785,BENIGN
-0.46512824,BENIGN
-0.42234313,BENIGN
-0.3487587,BENIGN
-0.38960615,BENIGN
-0.40459186,BENIGN
-0.35098872,BENIGN
-0.34714416,BENIGN
-0.34196877,BENIGN
-0.33760503,BENIGN
-0.44863245,BENIGN
-0.36453557,BENIGN
-0.37195617,BENIGN
-0.37573206,BENIGN
-0.5648956,BENIGN
-0.36551517,BENIGN
-0.5209298,BENIGN
-0.36634654,BENIGN
-0.3863191,BENIGN
-0.3483918,BENIGN
-0.37088868,BENIGN
-0.33956414,BENIGN
-0.37310177,BENIGN
-0.34569538,BENIGN
-0.46329743,BENIGN
-0.3944122,BENIGN
-0.39135936,BENIGN
-0.3897827,BENIGN
-0.41451234,BENIGN
-0.39262748,BENIGN
-0.34301853,BENIGN
-0.3963013,BENIGN
-0.39045355,BENIGN
-0.384525,BENIGN
-0.44990644,BENIGN
-0.34087163,BENIGN
-0.45218283,BENIGN
-0.5411698,BENIGN
-0.34462804,BENIGN
-0.49776775,BENIGN
-0.33657458,BENIGN
-0.3923931,BENIGN
-0.37780458,BENIGN
-0.38642067,BENIGN
-0.49266508,BENIGN
-0.34056643,BENIGN
-0.40092728,BENIGN
-0.35517153,BENIGN
-0.40106523,BENIGN
-0.34535182,BENIGN
-0.36549374,BENIGN
-0.35435414,BENIGN
-0.47665766,BENIGN
-0.40459836,BENIGN
-0.45275506,BENIGN
-0.40965828,BENIGN
-0.34990382,BENIGN
-0.6806903,BENIGN
-0.45123333,BENIGN
-0.401778,BENIGN
-0.3342325,BENIGN
-0.4128013,BENIGN
-0.45686963,BENIGN
-0.35045797,BENIGN
-0.38667506,BENIGN
-0.37643915,BENIGN
-0.33718294,BENIGN
-0.37123436,BENIGN
-0.37048087,BENIGN
-0.3391123,BENIGN
-0.33387867,BENIGN
-0.39214286,BENIGN
-0.4408153,BENIGN
-0.38365906,BENIGN
-0.3817712,BENIGN
-0.34851846,BENIGN
-0.3452949,BENIGN
-0.40261054,BENIGN
-0.35241705,BENIGN
-0.45915052,BENIGN
-0.43022215,BENIGN
-0.34550348,BENIGN
-0.38913032,BENIGN
-0.33944875,BENIGN
-0.573227,BENIGN
-0.37540707,BENIGN
-0.37687472,BENIGN
-0.46547464,BENIGN
-0.5305539,BENIGN
-0.35074398,BENIGN
-0.3458654,BENIGN
-0.4313349,BENIGN
-0.4844517,BENIGN
-0.33988902,BENIGN
-0.61391276,BENIGN
-0.54600966,BENIGN
-0.3373593,BENIGN
-0.34279087,BENIGN
-0.3383614,BENIGN
-0.3333086,BENIGN
-0.37689188,BENIGN
-0.35122094,BENIGN
-0.3545391,BENIGN
-0.5769931,BENIGN
-0.34435052,BENIGN
-0.34130344,BENIGN
-0.42577595,BENIGN
-0.45104542,BENIGN
-0.39923286,BENIGN
-0.3953614,BENIGN
-0.40144336,BENIGN
-0.3350839,BENIGN
-0.355944,BENIGN
-0.5474066,BENIGN
-0.36598417,BENIGN
-0.36447003,BENIGN
-0.33096305,BENIGN
-0.33292812,BENIGN
-0.3817275,BENIGN
-0.33783656,BENIGN
-0.3689175,BENIGN
-0.35225287,BENIGN
-0.39599222,BENIGN
-0.46575263,BENIGN
-0.36363527,BENIGN
-0.53078955,BENIGN
-0.40107387,BENIGN
-0.3818324,BENIGN
-0.34137937,BENIGN
-0.35636848,BENIGN
-0.39203748,BENIGN
-0.33238858,BENIGN
-0.5747976,BENIGN
-0.46469915,BENIGN
-0.37532505,BENIGN
-0.358623,BENIGN
-0.4137277,BENIGN
-0.43363303,BENIGN
-0.35101965,BENIGN
-0.34500745,BENIGN
-0.47353315,BENIGN
-0.3400597,BENIGN
-0.35904557,BENIGN
-0.33976713,BENIGN
-0.37974915,BENIGN
-0.33546284,BENIGN
-0.34361157,BENIGN
-0.39493832,BENIGN
-0.3354242,BENIGN
-0.34410372,BENIGN
-0.37122273,BENIGN
-0.33542737,BENIGN
-0.3605023,BENIGN
-0.40071315,BENIGN
-0.36655933,BENIGN
-0.37552035,BENIGN
-0.3970439,BENIGN
-0.4314429,BENIGN
-0.34602228,BENIGN
-0.55872476,BENIGN
-0.36513153,BENIGN
-0.34692994,BENIGN
-0.4403589,BENIGN
-0.33092967,BENIGN
-0.39721832,BENIGN
-0.39534563,BENIGN
-0.42457575,BENIGN
-0.39382476,BENIGN
-0.36659124,BENIGN
-0.3913258,BENIGN
-0.40819448,BENIGN
-0.37757134,BENIGN
-0.34235555,BENIGN
-0.34213638,BENIGN
-0.37640065,BENIGN
-0.34310645,BENIGN
-0.3847596,BENIGN
-0.37014472,BENIGN
-0.4119906,BENIGN
-0.70200557,BENIGN
-0.38800544,BENIGN
-0.39079794,BENIGN
-0.4471805,BENIGN
-0.34062043,BENIGN
-0.47779346,BENIGN
-0.3854165,BENIGN
-0.33430964,BENIGN
-0.34659475,BENIGN
-0.36817986,BENIGN
-0.34758922,BENIGN
-0.3714062,BENIGN
-0.36209503,BENIGN
-0.34237495,BENIGN
-0.3773246,BENIGN
-0.35852015,BENIGN
-0.33996192,BENIGN
-0.3713674,BENIGN
-0.4758789,BENIGN
-0.38784724,BENIGN
-0.3514616,BENIGN
-0.35801604,BENIGN
-0.6461383,BENIGN
-0.39038742,BENIGN
-0.3421356,BENIGN
-0.3752613,BENIGN
-0.34955883,BENIGN
-0.47146782,BENIGN
-0.3900921,BENIGN
-0.34464124,BENIGN
-0.43568027,BENIGN
-0.5686414,BENIGN
-0.34667423,BENIGN
-0.3344988,BENIGN
-0.40939996,BENIGN
-0.41932917,BENIGN
-0.38134876,BENIGN
-0.4051519,BENIGN
-0.5589702,BENIGN
-0.37399676,BENIGN
-0.3584415,BENIGN
-0.3439379,BENIGN
-0.338128,BENIGN
-0.37053648,BENIGN
-0.37046707,BENIGN
-0.40509012,BENIGN
-0.37551948,BENIGN
-0.3480815,BENIGN
-0.3892056,BENIGN
-0.35599992,BENIGN
-0.6840387,BENIGN
-0.3436745,BENIGN
-0.37184626,BENIGN
-0.3809035,BENIGN
-0.36009476,BENIGN
-0.3380581,BENIGN
-0.34761727,BENIGN
-0.38549247,BENIGN
-0.37606847,BENIGN
-0.5089823,BENIGN
-0.3714667,BENIGN
-0.33506835,BENIGN
-0.5615897,BENIGN
-0.44194555,BENIGN
-0.3354281,BENIGN
-0.4010974,BENIGN
-0.36450475,BENIGN
-0.34245846,BENIGN
-0.3757369,BENIGN
-0.35531467,BENIGN
-0.33676496,BENIGN
-0.34802964,BENIGN
-0.34986243,BENIGN
-0.3486184,BENIGN
-0.34605455,BENIGN
-0.390745,BENIGN
-0.34033012,BENIGN
-0.33921498,BENIGN
-0.35460323,BENIGN
-0.66121095,BENIGN
-0.34055156,BENIGN
-0.37272838,BENIGN
-0.33670473,BENIGN
-0.453268,BENIGN
-0.336697,BENIGN
-0.3369469,BENIGN
-0.3669702,BENIGN
-0.35341656,BENIGN
-0.3983681,BENIGN
-0.37403336,BENIGN
-0.34698084,BENIGN
-0.45397523,BENIGN
-0.41397697,BENIGN
-0.3516983,BENIGN
-0.33511373,BENIGN
-0.421892,BENIGN
-0.35818937,BENIGN
-0.3488943,BENIGN
-0.3396239,BENIGN
-0.44961393,BENIGN
-0.4397498,BENIGN
-0.58806604,BENIGN
-0.3469748,BENIGN
-0.3749403,BENIGN
-0.3691062,BENIGN
-0.35714954,BENIGN
-0.39276555,BENIGN
-0.3398889,BENIGN
-0.34113562,BENIGN
-0.3398312,BENIGN
-0.35613084,BENIGN
-0.4823051,BENIGN
-0.34422314,BENIGN
-0.4584514,BENIGN
-0.36831972,BENIGN
-0.3363858,BENIGN
-0.3371898,BENIGN
-0.3889429,BENIGN
-0.3758095,BENIGN
-0.33825624,BENIGN
-0.5426549,BENIGN
-0.33373877,BENIGN
-0.43350342,BENIGN
-0.38112956,BENIGN
-0.36744452,BENIGN
-0.43453127,BENIGN
-0.3593637,BENIGN
-0.3528887,BENIGN
-0.38985237,BENIGN
-0.35587254,BENIGN
-0.40599754,BENIGN
-0.34080762,BENIGN
-0.3333482,BENIGN
-0.4588554,BENIGN
-0.35869813,BENIGN
-0.40482548,BENIGN
-0.38556635,BENIGN
-0.36634788,BENIGN
-0.36846966,BENIGN
-0.39621586,BENIGN
-0.3448958,BENIGN
-0.3392125,BENIGN
-0.33896872,BENIGN
-0.35938916,BENIGN
-0.3851804,BENIGN
-0.518265,BENIGN
-0.34419936,BENIGN
-0.36316797,BENIGN
-0.37403366,BENIGN
-0.34493253,BENIGN
-0.3625914,BENIGN
-0.4169084,BENIGN
-0.68533576,BENIGN
-0.33639765,BENIGN
-0.37919292,BENIGN
-0.37152937,BENIGN
-0.34040278,BENIGN
-0.34828788,BENIGN
-0.34198886,BENIGN
-0.3528034,BENIGN
-0.3481051,BENIGN
-0.4394931,BENIGN
-0.348559,BENIGN
-0.6411494,BENIGN
-0.35012084,BENIGN
-0.42600492,BENIGN
-0.35072765,BENIGN
-0.3412818,BENIGN
-0.6744034,BENIGN
-0.36763594,BENIGN
-0.36090618,BENIGN
-0.34462428,BENIGN
-0.3858858,BENIGN
-0.35584337,BENIGN
-0.33549398,BENIGN
-0.46799758,BENIGN
-0.37625492,BENIGN
-0.3948227,BENIGN
-0.39493832,BENIGN
-0.34914568,BENIGN
-0.34370974,BENIGN
-0.45315498,BENIGN
-0.39672053,BENIGN
-0.355944,BENIGN
-0.36338633,BENIGN
-0.36684513,BENIGN
-0.33319443,BENIGN
-0.38388067,BENIGN
-0.39903408,BENIGN
-0.33911562,BENIGN
-0.33450872,BENIGN
-0.36994863,BENIGN
-0.38351917,BENIGN
-0.35048118,BENIGN
-0.36913398,BENIGN
-0.3701929,BENIGN
-0.38063914,BENIGN
-0.3389433,BENIGN
-0.3357813,BENIGN
-0.34094548,BENIGN
-0.38089865,BENIGN
-0.3459964,BENIGN
-0.35947195,BENIGN
-0.3458654,BENIGN
-0.43909198,BENIGN
-0.34930927,BENIGN
-0.3503566,BENIGN
-0.3380249,BENIGN
-0.34415627,BENIGN
-0.34180588,BENIGN
-0.35354686,BENIGN
-0.37383968,BENIGN
-0.3701265,BENIGN
-0.35511646,BENIGN
-0.34966034,BENIGN
-0.5411671,BENIGN
-0.35492104,BENIGN
-0.38027886,BENIGN
-0.58332056,BENIGN
-0.37029895,BENIGN
-0.4146309,BENIGN
-0.36963916,BENIGN
-0.60878754,BENIGN
-0.3798616,BENIGN
-0.34188318,BENIGN
-0.42309412,BENIGN
-0.39118102,BENIGN
-0.3457052,BENIGN
-0.37551948,BENIGN
-0.35529017,BENIGN
-0.3393714,BENIGN
-0.45210811,BENIGN
-0.34227505,BENIGN
-0.39472878,BENIGN
-0.35707784,BENIGN
-0.37652797,BENIGN
-0.4946749,BENIGN
-0.3706281,BENIGN
-0.38258955,BENIGN
-0.35062847,BENIGN
-0.45579135,BENIGN
-0.3889016,BENIGN
-0.35191813,BENIGN
-0.36713415,BENIGN
-0.5225345,BENIGN
-0.3505087,BENIGN
-0.3681192,BENIGN
-0.35898116,BENIGN
-0.3754454,BENIGN
-0.33555347,BENIGN
-0.4900654,BENIGN
-0.4265043,BENIGN
-0.34140685,BENIGN
-0.3903519,BENIGN
-0.3578481,BENIGN
-0.40901724,BENIGN
-0.34049106,BENIGN
-0.344555,BENIGN
-0.34100097,BENIGN
-0.5830251,BENIGN
-0.40459836,BENIGN
-0.34219337,BENIGN
-0.5403644,BENIGN
-0.33640686,BENIGN
-0.3830643,BENIGN
-0.38704368,BENIGN
-0.36549374,BENIGN
-0.36607307,BENIGN
-0.34059823,BENIGN
-0.35807288,BENIGN
-0.33913946,BENIGN
-0.40329674,BENIGN
-0.3458654,BENIGN
-0.36683935,BENIGN
-0.44169807,BENIGN
-0.33823216,BENIGN
-0.40519962,BENIGN
-0.34817708,BENIGN
-0.40412447,BENIGN
-0.36289337,BENIGN
-0.34823117,BENIGN
-0.4993371,BENIGN
-0.3998518,BENIGN
-0.49250117,BENIGN
-0.36817908,BENIGN
-0.3502599,BENIGN
-0.51579946,BENIGN
-0.33915818,BENIGN
-0.42350653,BENIGN
-0.4640029,BENIGN
-0.33839667,BENIGN
-0.38524687,BENIGN
-0.33697134,BENIGN
-0.33209264,BENIGN
-0.3694541,BENIGN
